uri,title,year
https://hdl.handle.net/11245/3.1625,Lvtzenbvrg dvcatvs,1640
https://hdl.handle.net/11245/3.1632,"Caerte vande Vereenichde Nederlanden : mitsgaders de Landen daer aen grensende, als Vlaenderen, Braba[n]t, Limburg, Gulick, Cleef en Berchs-lant, idem een gedeelte van 't Bisdom Collen Westphalen, en Embderlant, uijtgegeven A° 1633.",1633
https://hdl.handle.net/11245/3.1661,Flandria /,1600
https://hdl.handle.net/11245/3.1671,tHooge heemraedschap van Delflant /,1750
https://hdl.handle.net/11245/3.1676,Amsteldam ten tweede mael vergroot is eerst met steene mueren omvangen inden jaere 1482 /,1750
https://hdl.handle.net/11245/3.1680,Hollandia quae olim Cattorum sedes fuit nulli regioni fertilitate cedit divitijs abundat... /,1594
https://hdl.handle.net/11245/3.1683,"Carta noua accurata del passagio et strada dalli Paesi Bassi per via de Allemagna per Italia et per via di Paesi Suizeri à Geneua, Lione et Roma per seruizio delli marchanti et viagianti in generale ad instanza delli Ss. Scherer et di Momforti speditori delli marchantie in Bregens /",1671
https://hdl.handle.net/11245/3.1691,"Caerte van Noorthollant : beghinende van Noortendt, Zuijtwarts up tot om Leijden toe; voorts streckende Oostwaerts tot om Utrecht weder Noortwarts up in de Zuider Zee met alle sijn steden, dorpen, dijcken, weghen, wateren en vaerten, daer inne begrepen elcx na sijne rechte gheleghentheit.",1608
https://hdl.handle.net/11245/3.1695,Nova orbis terrarum delineatio singulari ratione accommodata meridiano tabb. Rudolphi astronomicarum,1630
https://hdl.handle.net/11245/3.1703,Hollandiae Batavor[um] veteris insulae et locorum adiacentium exacta descriptio /,1558
https://hdl.handle.net/11245/3.1705,"Kaart van geheel Guajana of de Wilden-kust, en die der Spaansche Westindiën, op het Noord-end van Zuid Amerika",1767
https://hdl.handle.net/11245/3.1717,[Paskaart van de rede van Bantam en Batavia].,1750
https://hdl.handle.net/11245/3.1722,Picardiae Belgicae regionis descriptio,1579
https://hdl.handle.net/11245/3.1730,Caletensium et Bononiensium ditionis accurata delineatio / Veromanduorum eorumque confinium exactissima descript. / Iohanne Surhonio auctore.,1598
https://hdl.handle.net/11245/3.1735,Amsteldam ten vierde mael vergroot is versterckt met Aerde wallen en Bolwercken inden jaere 1585 /,1650
https://hdl.handle.net/11245/3.174,"Fezzae et Marocchi regna Africae celeberrima,",1700
https://hdl.handle.net/11245/3.1750,Kaart van het Haarlemmerhout naar den laatsten aanleg van den architect J.D. Zocher /,1837
https://hdl.handle.net/11245/3.1753,Evropa,1630
https://hdl.handle.net/11245/3.1767,"Xantvng, Sinarvm Imperii provincia qvarta",1655
https://hdl.handle.net/11245/3.1768,"Algemeene kaart van het Groot Amsterdamsch Kanaal door Noord Holland : voor de koopvaardijvaart en s' Konings Marine tusschen het Y en de reede van Texel, ondernomen in 1819 en voltooid in 1825 /",1825
https://hdl.handle.net/11245/3.1774,[Paskaart van de kust van Atlantische Oceaan].,1750
https://hdl.handle.net/11245/3.1775,Portugalliae et Algarbiae Regna,1682
https://hdl.handle.net/11245/3.1782,"Delflandia, Schielandia, et insulae trans Mosam illis objacentes ut sunt Voorna, Overflackea, Goerea, Yselmonda, etc. /",1631
https://hdl.handle.net/11245/3.1784,"Americae sive novi orbis, nova descriptio",1587
https://hdl.handle.net/11245/3.1795,"Texel, en Vlie Stroom /",1712
https://hdl.handle.net/11245/3.1797,Die generale pascaerte vanden vermaerden Adriaen Gerritsen van Haerlem stierman ende een leermeester aller stierluijden : seer gebetert omt verloopen der sanden ende gaten : ende dit mitsgaders alle sijn werck int licht gebracht van sijne weduwe met hulpe van zeer eerbare luijden /,1587
https://hdl.handle.net/11245/3.1805,"Tabula Gaeographica amplissimae ditionis Westphaliae conterminarumque provinciarum : delineata eo, quo Admirandus Arragoniae potentissimi Hispaniarum Regis archistrategus , eam occupaverat, tempore : continenturque haec tabella ducatus Cliviae ... /",1589
https://hdl.handle.net/11245/3.1813,Drentia comitatvs. Transiselaniæ tabula II. /,1640
https://hdl.handle.net/11245/3.1818,Nieuwe perfecte caert van 't Coningrijk Poortugael en Algarve met de naburige grenzen /,1680
https://hdl.handle.net/11245/3.184,Chaerte vande Wieringer waert : de welcke inden jaere xvi c acht begost is bedyckt te worden ... dat de landen daer inne bedyckt ter nombre van 1895 morgens van 720 roeden de morgen Geestmeerambachts landtmaete of 600 roen binnenbanse ofte Sypse dyckmaete : by alle Contribuanten en gewillighe Bedyckers op den xij.de Julii Ao. xvj c xi by blinde lotinge gekavelt ende gedeelt zyn,1611
https://hdl.handle.net/11245/3.1865,Das heutige Europa.,1875
https://hdl.handle.net/11245/3.1878,"Hemispheriu[m] ab aequinoctiali linea, ad circulu[m] Poli Arctici : hemispheriu[m] ab aequinoctiali linea, ad circulu[m] Poli A[n]tarctici.",1593
https://hdl.handle.net/11245/3.1881,Het Watergraafs of Diemer-Meer.,1725
https://hdl.handle.net/11245/3.1884,Nova tabula India Orientalis /,1660
https://hdl.handle.net/11245/3.1888,Comitatus Hollandiae denuo forma Leonis,1648
